serial,Distance,Date,Time,Day,Day_type,SpclOccasions,Target
15,27,2020-05-02,16:54:00,Saturday,Holiday,Null,LOCK
15,34,2020-05-02,17:39:00,Saturday,Holiday,Null,LOCK
16,19,2020-05-02,17:39:00,Saturday,Holiday,Null,LOCK
16,45,2020-05-01,01:04:00,Friday,workingDay,Null,LOCK
16,38,2020-05-01,12:19:00,Friday,workingDay,Null,LOCK
16,49,2020-05-01,21:51:00,Friday,workingDay,Null,LOCK
16,8,2020-05-01,15:44:00,Friday,workingDay,Null,UNLOCK
17,20,2020-05-01,15:44:00,Friday,workingDay,Null,UNLOCK
17,32,2020-04-30,07:16:00,Thursday,workingDay,Null,LOCK
17,35,2020-04-30,06:06:00,Thursday,workingDay,Null,LOCK
18,6,2020-04-30,06:06:00,Thursday,workingDay,Null,LOCK
18,35,2020-04-29,17:54:00,Wednesday,workingDay,Null,LOCK
18,8,2020-04-29,20:25:00,Wednesday,workingDay,Null,LOCK
18,45,2020-04-29,14:12:00,Wednesday,workingDay,Null,LOCK
19,9,2020-04-29,14:12:00,Wednesday,workingDay,Null,LOCK
19,47,2020-04-28,17:12:00,Tuesday,workingDay,Null,LOCK
19,7,2020-04-28,01:45:00,Tuesday,workingDay,Null,LOCK
19,11,2020-04-28,07:46:00,Tuesday,workingDay,Null,UNLOCK
19,45,2020-04-28,14:03:00,Tuesday,workingDay,Null,LOCK
20,24,2020-04-28,14:03:00,Tuesday,workingDay,Null,LOCK
20,31,2020-04-27,23:15:00,Monday,workingDay,Null,LOCK
20,22,2020-04-27,22:37:00,Monday,workingDay,Null,LOCK
20,37,2020-04-27,02:50:00,Monday,workingDay,Null,LOCK
20,25,2020-04-27,23:09:00,Monday,workingDay,Null,LOCK
21,21,2020-04-27,23:09:00,Monday,workingDay,Null,LOCK
21,27,2020-04-26,18:54:00,Sunday,Holiday,Null,LOCK
22,40,2020-04-26,18:54:00,Sunday,Holiday,Null,LOCK
22,47,2020-04-25,06:54:00,Saturday,Holiday,Null,LOCK
22,31,2020-04-25,06:07:00,Saturday,Holiday,Null,LOCK
22,49,2020-04-25,03:45:00,Saturday,Holiday,Null,LOCK
22,35,2020-04-25,12:05:00,Saturday,Holiday,Null,LOCK
22,40,2020-04-25,16:04:00,Saturday,Holiday,Null,LOCK
22,30,2020-04-25,20:55:00,Saturday,Holiday,Null,LOCK
23,19,2020-04-25,20:55:00,Saturday,Holiday,Null,LOCK
23,25,2020-04-24,00:44:00,Friday,workingDay,Null,LOCK
23,38,2020-04-24,18:33:00,Friday,workingDay,Null,LOCK
23,29,2020-04-24,15:35:00,Friday,workingDay,Null,LOCK
24,48,2020-04-24,15:35:00,Friday,workingDay,Null,LOCK
24,24,2020-04-23,22:27:00,Thursday,workingDay,Null,LOCK
24,19,2020-04-23,23:49:00,Thursday,workingDay,Null,LOCK
24,25,2020-04-23,19:35:00,Thursday,workingDay,Null,LOCK
25,39,2020-04-23,19:35:00,Thursday,workingDay,Null,LOCK
25,11,2020-04-22,07:36:00,Wednesday,workingDay,Null,UNLOCK
25,15,2020-04-22,08:46:00,Wednesday,workingDay,Null,UNLOCK
25,26,2020-04-22,07:56:00,Wednesday,workingDay,Null,LOCK
26,27,2020-04-22,07:56:00,Wednesday,workingDay,Null,LOCK
26,43,2020-04-21,11:25:00,Tuesday,workingDay,Null,LOCK
26,6,2020-04-21,12:51:00,Tuesday,workingDay,Null,UNLOCK
26,6,2020-04-21,18:03:00,Tuesday,workingDay,Null,UNLOCK
27,8,2020-04-21,18:03:00,Tuesday,workingDay,Null,UNLOCK
27,50,2020-04-20,07:17:00,Monday,workingDay,Null,LOCK
27,32,2020-04-20,16:45:00,Monday,workingDay,Null,LOCK
28,24,2020-04-20,16:45:00,Monday,workingDay,Null,LOCK
28,36,2020-04-19,01:06:00,Sunday,Holiday,Null,LOCK
28,6,2020-04-19,03:52:00,Sunday,Holiday,Null,LOCK
28,46,2020-04-19,04:36:00,Sunday,Holiday,Null,LOCK
29,40,2020-04-19,04:36:00,Sunday,Holiday,Null,LOCK
29,39,2020-04-18,14:54:00,Saturday,Holiday,Null,LOCK
29,16,2020-04-18,23:17:00,Saturday,Holiday,Null,LOCK
29,41,2020-04-18,23:16:00,Saturday,Holiday,Null,LOCK
29,36,2020-04-18,15:15:00,Saturday,Holiday,Null,LOCK
30,42,2020-04-18,15:15:00,Saturday,Holiday,Null,LOCK
30,17,2020-04-17,15:36:00,Friday,workingDay,Null,UNLOCK
30,34,2020-04-17,07:00:00,Friday,workingDay,Null,LOCK
31,32,2020-04-17,07:00:00,Friday,workingDay,Null,LOCK
31,18,2020-04-16,07:26:00,Thursday,workingDay,Null,UNLOCK
31,21,2020-04-16,05:17:00,Thursday,workingDay,Null,LOCK
32,34,2020-04-16,05:17:00,Thursday,workingDay,Null,LOCK
32,37,2020-04-15,22:26:00,Wednesday,workingDay,Null,LOCK
32,23,2020-04-15,14:03:00,Wednesday,workingDay,Null,LOCK
33,44,2020-04-15,14:03:00,Wednesday,workingDay,Null,LOCK
33,49,2020-04-14,05:55:00,Tuesday,workingDay,Null,LOCK
33,12,2020-04-14,19:40:00,Tuesday,workingDay,Null,UNLOCK
33,29,2020-04-14,13:45:00,Tuesday,workingDay,Null,LOCK
33,5,2020-04-14,03:31:00,Tuesday,workingDay,Null,LOCK
34,17,2020-04-14,03:31:00,Tuesday,workingDay,Null,LOCK
35,5,2020-04-13,03:31:00,Monday,Holiday,Easter Monday [England/Wales/Northern Ireland],LOCK
35,10,2020-04-12,13:13:00,Sunday,Holiday,Null,UNLOCK
35,36,2020-04-12,22:26:00,Sunday,Holiday,Null,LOCK
36,31,2020-04-12,22:26:00,Sunday,Holiday,Null,LOCK
36,25,2020-04-11,23:11:00,Saturday,Holiday,Null,LOCK
36,5,2020-04-11,04:06:00,Saturday,Holiday,Null,LOCK
37,20,2020-04-11,04:06:00,Saturday,Holiday,Null,LOCK
37,32,2020-04-10,10:06:00,Friday,Holiday,Good Friday,LOCK
37,43,2020-04-10,05:55:00,Friday,Holiday,Good Friday,LOCK
37,23,2020-04-10,09:16:00,Friday,Holiday,Good Friday,LOCK
37,45,2020-04-10,14:17:00,Friday,Holiday,Good Friday,LOCK
37,20,2020-04-10,15:33:00,Friday,Holiday,Good Friday,UNLOCK
38,27,2020-04-10,15:33:00,Friday,Holiday,Good Friday,LOCK
38,33,2020-04-09,20:22:00,Thursday,workingDay,Null,LOCK
38,33,2020-04-09,07:46:00,Thursday,workingDay,Null,LOCK
38,25,2020-04-09,07:40:00,Thursday,workingDay,Null,LOCK
38,28,2020-04-09,19:18:00,Thursday,workingDay,Null,LOCK
39,43,2020-04-09,19:18:00,Thursday,workingDay,Null,LOCK
39,50,2020-04-08,08:14:00,Wednesday,workingDay,Null,LOCK
39,41,2020-04-08,13:27:00,Wednesday,workingDay,Null,LOCK
39,44,2020-04-08,09:07:00,Wednesday,workingDay,Null,LOCK
40,7,2020-04-08,09:07:00,Wednesday,workingDay,Null,LOCK
40,7,2020-04-07,01:19:00,Tuesday,workingDay,Null,LOCK
40,26,2020-04-07,17:23:00,Tuesday,workingDay,Null,LOCK
41,21,2020-04-07,17:23:00,Tuesday,workingDay,Null,LOCK
41,46,2020-04-06,01:51:00,Monday,workingDay,Null,LOCK
41,24,2020-04-06,00:02:00,Monday,workingDay,Null,LOCK
42,6,2020-04-06,00:02:00,Monday,workingDay,Null,LOCK
42,23,2020-04-05,00:19:00,Sunday,Holiday,Null,LOCK
42,43,2020-04-05,00:47:00,Sunday,Holiday,Null,LOCK
42,48,2020-04-05,07:56:00,Sunday,Holiday,Null,LOCK
43,39,2020-04-05,07:56:00,Sunday,Holiday,Null,LOCK
43,13,2020-04-04,12:36:00,Saturday,Holiday,Null,UNLOCK
43,19,2020-04-04,08:56:00,Saturday,Holiday,Null,UNLOCK
43,46,2020-04-04,01:35:00,Saturday,Holiday,Null,LOCK
43,6,2020-04-04,21:58:00,Saturday,Holiday,Null,UNLOCK
44,43,2020-04-04,21:58:00,Saturday,Holiday,Null,LOCK
44,38,2020-04-03,16:15:00,Friday,workingDay,Null,LOCK
44,32,2020-04-03,03:08:00,Friday,workingDay,Null,LOCK
45,5,2020-04-03,03:08:00,Friday,workingDay,Null,LOCK
45,6,2020-04-02,01:45:00,Thursday,workingDay,Null,LOCK
45,13,2020-04-02,02:34:00,Thursday,workingDay,Null,LOCK
45,9,2020-04-02,16:07:00,Thursday,workingDay,Null,UNLOCK
46,32,2020-04-02,16:07:00,Thursday,workingDay,Null,LOCK
46,42,2020-04-01,00:42:00,Wednesday,workingDay,Null,LOCK
46,26,2020-04-01,11:02:00,Wednesday,workingDay,Null,LOCK
47,21,2020-04-01,11:02:00,Wednesday,workingDay,Null,LOCK
47,50,2020-03-31,13:37:00,Tuesday,workingDay,Null,LOCK
47,39,2020-03-31,07:08:00,Tuesday,workingDay,Null,LOCK
48,42,2020-03-31,07:08:00,Tuesday,workingDay,Null,LOCK
48,27,2020-03-30,01:36:00,Monday,workingDay,Null,LOCK
48,28,2020-03-30,22:09:00,Monday,workingDay,Null,LOCK
48,33,2020-03-30,20:06:00,Monday,workingDay,Null,LOCK
48,12,2020-03-30,06:32:00,Monday,workingDay,Null,LOCK
49,39,2020-03-30,06:32:00,Monday,workingDay,Null,LOCK
49,14,2020-03-29,09:53:00,Sunday,Holiday,Null,UNLOCK
49,19,2020-03-29,15:48:00,Sunday,Holiday,Null,UNLOCK
49,27,2020-03-29,20:43:00,Sunday,Holiday,Null,LOCK
49,31,2020-03-29,23:17:00,Sunday,Holiday,Null,LOCK
49,38,2020-03-29,10:29:00,Sunday,Holiday,Null,LOCK
49,15,2020-03-29,11:20:00,Sunday,Holiday,Null,UNLOCK
50,20,2020-03-29,11:20:00,Sunday,Holiday,Null,UNLOCK
51,6,2020-03-28,11:20:00,Saturday,Holiday,Null,UNLOCK
51,34,2020-03-27,10:10:00,Friday,workingDay,Null,LOCK
51,32,2020-03-27,15:37:00,Friday,workingDay,Null,LOCK
51,39,2020-03-27,21:44:00,Friday,workingDay,Null,LOCK
51,32,2020-03-27,21:24:00,Friday,workingDay,Null,LOCK
52,48,2020-03-27,21:24:00,Friday,workingDay,Null,LOCK
52,21,2020-03-26,14:29:00,Thursday,workingDay,Null,LOCK
52,5,2020-03-26,02:40:00,Thursday,workingDay,Null,LOCK
52,49,2020-03-26,18:54:00,Thursday,workingDay,Null,LOCK
53,9,2020-03-26,18:54:00,Thursday,workingDay,Null,LOCK
53,44,2020-03-25,12:39:00,Wednesday,workingDay,Null,LOCK
53,45,2020-03-25,22:01:00,Wednesday,workingDay,Null,LOCK
53,22,2020-03-25,14:32:00,Wednesday,workingDay,Null,LOCK
53,20,2020-03-25,16:20:00,Wednesday,workingDay,Null,UNLOCK
54,25,2020-03-25,16:20:00,Wednesday,workingDay,Null,LOCK
54,13,2020-03-24,09:36:00,Tuesday,workingDay,Null,UNLOCK
54,50,2020-03-24,09:33:00,Tuesday,workingDay,Null,LOCK
55,17,2020-03-24,09:33:00,Tuesday,workingDay,Null,LOCK
55,13,2020-03-23,09:11:00,Monday,workingDay,Null,UNLOCK
55,20,2020-03-23,22:47:00,Monday,workingDay,Null,LOCK
55,30,2020-03-23,05:30:00,Monday,workingDay,Null,LOCK
55,10,2020-03-23,05:24:00,Monday,workingDay,Null,LOCK
56,50,2020-03-23,05:24:00,Monday,workingDay,Null,LOCK
56,14,2020-03-22,10:11:00,Sunday,Holiday,Null,UNLOCK
56,49,2020-03-22,01:12:00,Sunday,Holiday,Null,LOCK
56,45,2020-03-22,04:39:00,Sunday,Holiday,Null,LOCK
56,5,2020-03-22,15:16:00,Sunday,Holiday,Null,UNLOCK
56,48,2020-03-22,17:41:00,Sunday,Holiday,Null,LOCK
56,42,2020-03-22,22:03:00,Sunday,Holiday,Null,LOCK
57,33,2020-03-22,22:03:00,Sunday,Holiday,Null,LOCK
57,12,2020-03-21,02:27:00,Saturday,Holiday,Null,LOCK
57,10,2020-03-21,08:55:00,Saturday,Holiday,Null,UNLOCK
57,25,2020-03-21,06:14:00,Saturday,Holiday,Null,LOCK
58,50,2020-03-21,06:14:00,Saturday,Holiday,Null,LOCK
58,11,2020-03-20,12:38:00,Friday,workingDay,Null,UNLOCK
58,34,2020-03-20,14:45:00,Friday,workingDay,Null,LOCK
58,26,2020-03-20,10:37:00,Friday,workingDay,Null,LOCK
59,28,2020-03-20,10:37:00,Friday,workingDay,Null,LOCK
59,24,2020-03-19,08:13:00,Thursday,workingDay,Null,LOCK
59,46,2020-03-19,12:03:00,Thursday,workingDay,Null,LOCK
59,30,2020-03-19,20:50:00,Thursday,workingDay,Null,LOCK
59,43,2020-03-19,09:31:00,Thursday,workingDay,Null,LOCK
60,28,2020-03-19,09:31:00,Thursday,workingDay,Null,LOCK
60,36,2020-03-18,15:26:00,Wednesday,workingDay,Null,LOCK
60,27,2020-03-18,23:15:00,Wednesday,workingDay,Null,LOCK
60,26,2020-03-18,02:37:00,Wednesday,workingDay,Null,LOCK
60,24,2020-03-18,12:17:00,Wednesday,workingDay,Null,LOCK
61,25,2020-03-18,12:17:00,Wednesday,workingDay,Null,LOCK
61,14,2020-03-17,13:25:00,Tuesday,Holiday,St. Patrick's Day [Northern Ireland],UNLOCK
61,14,2020-03-17,19:28:00,Tuesday,Holiday,St. Patrick's Day [Northern Ireland],UNLOCK
61,12,2020-03-17,01:19:00,Tuesday,Holiday,St. Patrick's Day [Northern Ireland],LOCK
61,38,2020-03-17,10:28:00,Tuesday,Holiday,St. Patrick's Day [Northern Ireland],LOCK
62,46,2020-03-17,10:28:00,Tuesday,Holiday,St. Patrick's Day [Northern Ireland],LOCK
62,17,2020-03-16,07:48:00,Monday,workingDay,Null,UNLOCK
62,28,2020-03-16,20:38:00,Monday,workingDay,Null,LOCK
62,50,2020-03-16,19:13:00,Monday,workingDay,Null,LOCK
63,47,2020-03-16,19:13:00,Monday,workingDay,Null,LOCK
63,23,2020-03-15,18:20:00,Sunday,Holiday,Null,LOCK
63,11,2020-03-15,20:12:00,Sunday,Holiday,Null,UNLOCK
63,45,2020-03-15,01:20:00,Sunday,Holiday,Null,LOCK
63,30,2020-03-15,05:37:00,Sunday,Holiday,Null,LOCK
64,21,2020-03-15,05:37:00,Sunday,Holiday,Null,LOCK
64,33,2020-03-14,15:35:00,Saturday,Holiday,Null,LOCK
65,25,2020-03-14,15:35:00,Saturday,Holiday,Null,LOCK
65,10,2020-03-13,12:15:00,Friday,workingDay,Null,UNLOCK
65,21,2020-03-13,11:31:00,Friday,workingDay,Null,LOCK
65,36,2020-03-13,00:04:00,Friday,workingDay,Null,LOCK
65,24,2020-03-13,00:05:00,Friday,workingDay,Null,LOCK
66,29,2020-03-13,00:05:00,Friday,workingDay,Null,LOCK
66,28,2020-03-12,09:09:00,Thursday,workingDay,Null,LOCK
66,15,2020-03-12,10:27:00,Thursday,workingDay,Null,UNLOCK
66,14,2020-03-12,06:07:00,Thursday,workingDay,Null,LOCK
66,45,2020-03-12,17:00:00,Thursday,workingDay,Null,LOCK
67,42,2020-03-12,17:00:00,Thursday,workingDay,Null,LOCK
67,48,2020-03-11,14:53:00,Wednesday,workingDay,Null,LOCK
67,43,2020-03-11,03:47:00,Wednesday,workingDay,Null,LOCK
67,37,2020-03-11,22:41:00,Wednesday,workingDay,Null,LOCK
68,39,2020-03-11,22:41:00,Wednesday,workingDay,Null,LOCK
68,6,2020-03-10,19:59:00,Tuesday,workingDay,Null,UNLOCK
68,42,2020-03-10,16:36:00,Tuesday,workingDay,Null,LOCK
69,9,2020-03-10,16:36:00,Tuesday,workingDay,Null,LOCK
69,19,2020-03-09,07:55:00,Monday,workingDay,Null,UNLOCK
69,48,2020-03-09,22:43:00,Monday,workingDay,Null,LOCK
69,38,2020-03-09,02:19:00,Monday,workingDay,Null,LOCK
70,29,2020-03-09,02:19:00,Monday,workingDay,Null,LOCK
70,19,2020-03-08,03:20:00,Sunday,Holiday,Null,LOCK
70,36,2020-03-08,06:04:00,Sunday,Holiday,Null,LOCK
70,47,2020-03-08,00:35:00,Sunday,Holiday,Null,LOCK
70,46,2020-03-08,16:44:00,Sunday,Holiday,Null,LOCK
70,36,2020-03-08,21:04:00,Sunday,Holiday,Null,LOCK
70,12,2020-03-08,00:03:00,Sunday,Holiday,Null,LOCK
71,33,2020-03-08,00:03:00,Sunday,Holiday,Null,LOCK
71,45,2020-03-07,00:06:00,Saturday,Holiday,Null,LOCK
71,9,2020-03-07,12:04:00,Saturday,Holiday,Null,UNLOCK
71,47,2020-03-07,11:45:00,Saturday,Holiday,Null,LOCK
71,8,2020-03-07,21:09:00,Saturday,Holiday,Null,UNLOCK
72,35,2020-03-07,21:09:00,Saturday,Holiday,Null,LOCK
72,46,2020-03-06,15:43:00,Friday,workingDay,Null,LOCK
72,22,2020-03-06,03:01:00,Friday,workingDay,Null,LOCK
73,5,2020-03-06,03:01:00,Friday,workingDay,Null,LOCK
73,6,2020-03-05,21:11:00,Thursday,workingDay,Null,LOCK
73,17,2020-03-05,23:29:00,Thursday,workingDay,Null,LOCK
73,42,2020-03-05,14:19:00,Thursday,workingDay,Null,LOCK
73,40,2020-03-05,18:58:00,Thursday,workingDay,Null,LOCK
74,37,2020-03-05,18:58:00,Thursday,workingDay,Null,LOCK
74,21,2020-03-04,16:43:00,Wednesday,workingDay,Null,LOCK
74,15,2020-03-04,02:25:00,Wednesday,workingDay,Null,LOCK
74,25,2020-03-04,07:59:00,Wednesday,workingDay,Null,LOCK
75,37,2020-03-04,07:59:00,Wednesday,workingDay,Null,LOCK
75,34,2020-03-03,20:50:00,Tuesday,workingDay,Null,LOCK
75,15,2020-03-03,05:03:00,Tuesday,workingDay,Null,LOCK
76,20,2020-03-03,05:03:00,Tuesday,workingDay,Null,LOCK
76,46,2020-03-02,17:29:00,Monday,workingDay,Null,LOCK
76,34,2020-03-02,01:43:00,Monday,workingDay,Null,LOCK
76,50,2020-03-02,06:11:00,Monday,workingDay,Null,LOCK
77,27,2020-03-02,06:11:00,Monday,workingDay,Null,LOCK
77,24,2020-03-01,21:55:00,Sunday,Holiday,Null,LOCK
77,44,2020-03-01,02:00:00,Sunday,Holiday,Null,LOCK
77,8,2020-03-01,08:05:00,Sunday,Holiday,Null,UNLOCK
77,22,2020-03-01,11:47:00,Sunday,Holiday,Null,LOCK
77,21,2020-03-01,17:37:00,Sunday,Holiday,Null,LOCK
77,35,2020-03-01,21:14:00,Sunday,Holiday,Null,LOCK
78,27,2020-03-01,21:14:00,Sunday,Holiday,Null,LOCK
78,30,2020-02-29,05:19:00,Saturday,Holiday,Null,LOCK
79,18,2020-02-29,05:19:00,Saturday,Holiday,Null,LOCK
79,35,2020-02-28,17:49:00,Friday,workingDay,Null,LOCK
79,8,2020-02-28,02:15:00,Friday,workingDay,Null,LOCK
79,45,2020-02-28,08:27:00,Friday,workingDay,Null,LOCK
79,23,2020-02-28,03:10:00,Friday,workingDay,Null,LOCK
80,19,2020-02-28,03:10:00,Friday,workingDay,Null,LOCK
80,18,2020-02-27,11:34:00,Thursday,workingDay,Null,UNLOCK
80,6,2020-02-27,08:10:00,Thursday,workingDay,Null,UNLOCK
80,40,2020-02-27,12:43:00,Thursday,workingDay,Null,LOCK
80,43,2020-02-27,15:55:00,Thursday,workingDay,Null,LOCK
81,35,2020-02-27,15:55:00,Thursday,workingDay,Null,LOCK
81,31,2020-02-26,08:00:00,Wednesday,workingDay,Null,LOCK
81,6,2020-02-26,02:51:00,Wednesday,workingDay,Null,LOCK
81,12,2020-02-26,16:42:00,Wednesday,workingDay,Null,UNLOCK
82,22,2020-02-26,16:42:00,Wednesday,workingDay,Null,LOCK
82,19,2020-02-25,04:27:00,Tuesday,workingDay,Null,LOCK
82,28,2020-02-25,21:03:00,Tuesday,workingDay,Null,LOCK
82,22,2020-02-25,18:41:00,Tuesday,workingDay,Null,LOCK
83,27,2020-02-25,18:41:00,Tuesday,workingDay,Null,LOCK
83,17,2020-02-24,18:54:00,Monday,workingDay,Null,UNLOCK
83,21,2020-02-24,13:11:00,Monday,workingDay,Null,LOCK
83,30,2020-02-24,02:40:00,Monday,workingDay,Null,LOCK
84,5,2020-02-24,02:40:00,Monday,workingDay,Null,LOCK
84,23,2020-02-23,13:16:00,Sunday,Holiday,Null,LOCK
84,37,2020-02-23,08:58:00,Sunday,Holiday,Null,LOCK
84,26,2020-02-23,02:00:00,Sunday,Holiday,Null,LOCK
84,40,2020-02-23,03:25:00,Sunday,Holiday,Null,LOCK
84,41,2020-02-23,00:04:00,Sunday,Holiday,Null,LOCK
85,40,2020-02-23,00:04:00,Sunday,Holiday,Null,LOCK
85,37,2020-02-22,19:59:00,Saturday,Holiday,Null,LOCK
85,47,2020-02-22,08:38:00,Saturday,Holiday,Null,LOCK
85,7,2020-02-22,19:54:00,Saturday,Holiday,Null,UNLOCK
85,12,2020-02-22,19:40:00,Saturday,Holiday,Null,UNLOCK
85,13,2020-02-22,03:16:00,Saturday,Holiday,Null,LOCK
86,30,2020-02-22,03:16:00,Saturday,Holiday,Null,LOCK
86,44,2020-02-21,21:34:00,Friday,workingDay,Null,LOCK
86,29,2020-02-21,02:17:00,Friday,workingDay,Null,LOCK
86,25,2020-02-21,17:53:00,Friday,workingDay,Null,LOCK
87,34,2020-02-21,17:53:00,Friday,workingDay,Null,LOCK
87,6,2020-02-20,07:47:00,Thursday,workingDay,Null,UNLOCK
87,49,2020-02-20,22:45:00,Thursday,workingDay,Null,LOCK
87,21,2020-02-20,16:25:00,Thursday,workingDay,Null,LOCK
88,25,2020-02-20,16:25:00,Thursday,workingDay,Null,LOCK
88,15,2020-02-19,18:44:00,Wednesday,workingDay,Null,UNLOCK
88,32,2020-02-19,21:18:00,Wednesday,workingDay,Null,LOCK
88,31,2020-02-19,21:51:00,Wednesday,workingDay,Null,LOCK
89,30,2020-02-19,21:51:00,Wednesday,workingDay,Null,LOCK
89,18,2020-02-18,20:39:00,Tuesday,workingDay,Null,LOCK
89,18,2020-02-18,08:36:00,Tuesday,workingDay,Null,UNLOCK
90,38,2020-02-18,08:36:00,Tuesday,workingDay,Null,LOCK
90,29,2020-02-17,16:58:00,Monday,workingDay,Null,LOCK
90,35,2020-02-17,14:12:00,Monday,workingDay,Null,LOCK
90,37,2020-02-17,11:34:00,Monday,workingDay,Null,LOCK
90,5,2020-02-17,01:18:00,Monday,workingDay,Null,LOCK
91,14,2020-02-17,01:18:00,Monday,workingDay,Null,LOCK
91,18,2020-02-16,13:02:00,Sunday,Holiday,Null,UNLOCK
92,38,2020-02-16,13:02:00,Sunday,Holiday,Null,LOCK
92,14,2020-02-15,09:59:00,Saturday,Holiday,Null,UNLOCK
92,45,2020-02-15,15:07:00,Saturday,Holiday,Null,LOCK
92,38,2020-02-15,04:18:00,Saturday,Holiday,Null,LOCK
93,5,2020-02-15,04:18:00,Saturday,Holiday,Null,LOCK
93,47,2020-02-14,22:13:00,Friday,workingDay,Null,LOCK
93,40,2020-02-14,23:31:00,Friday,workingDay,Null,LOCK
93,37,2020-02-14,19:41:00,Friday,workingDay,Null,LOCK
94,32,2020-02-14,19:41:00,Friday,workingDay,Null,LOCK
94,11,2020-02-13,05:40:00,Thursday,workingDay,Null,LOCK
94,13,2020-02-13,18:58:00,Thursday,workingDay,Null,UNLOCK
94,50,2020-02-13,04:31:00,Thursday,workingDay,Null,LOCK
94,30,2020-02-13,16:44:00,Thursday,workingDay,Null,LOCK
95,13,2020-02-13,16:44:00,Thursday,workingDay,Null,LOCK
95,25,2020-02-12,12:28:00,Wednesday,workingDay,Null,LOCK
95,31,2020-02-12,17:35:00,Wednesday,workingDay,Null,LOCK
96,39,2020-02-12,17:35:00,Wednesday,workingDay,Null,LOCK
96,21,2020-02-11,17:30:00,Tuesday,workingDay,Null,LOCK
